dataset,cantidad_locales,limite_contagio,metodo,tiempo
peor-caso-BT,29,15,BT,0.002484
peor-caso-BT,29,15,BT-F,18.4622
peor-caso-BT,29,15,BT-O,0.002705
peor-caso-BT,30,15,BT,0.002875
peor-caso-BT,30,15,BT-F,26.4215
peor-caso-BT,30,15,BT-O,0.003036
peor-caso-BT,31,16,BT,0.003346
peor-caso-BT,31,16,BT-F,41.861
peor-caso-BT,31,16,BT-O,0.002695
peor-caso-BT,32,16,BT,0.003015
peor-caso-BT,32,16,BT-F,69.2619
peor-caso-BT,32,16,BT-O,0.002786
peor-caso-BT,33,17,BT,0.002615
peor-caso-BT,33,17,BT-F,103.874
peor-caso-BT,33,17,BT-O,0.003487
peor-caso-BT,34,17,BT,0.003116
peor-caso-BT,34,17,BT-F,179.81
peor-caso-BT,34,17,BT-O,0.002495
peor-caso-BT,35,18,BT,0.002615
peor-caso-BT,35,18,BT-F,284.062
peor-caso-BT,35,18,BT-O,0.002715
peor-caso-BT,36,18,BT,0.003126
peor-caso-BT,36,18,BT-F,452.95
peor-caso-BT,36,18,BT-O,0.002905
peor-caso-BT,37,19,BT,0.002825
peor-caso-BT,37,19,BT-F,738.54
peor-caso-BT,37,19,BT-O,0.002995
peor-caso-BT,38,19,BT,0.003276
peor-caso-BT,38,19,BT-F,1184.45
peor-caso-BT,38,19,BT-O,0.002846
peor-caso-BT,39,20,BT,0.002855
peor-caso-BT,39,20,BT-F,1946.72
peor-caso-BT,39,20,BT-O,0.003246
